Total Stats
 Read Count           Write Count          Discard Count        GC Count             GC Average Runtime(ms)                   Copyback Count       Write Amplification Factor              
 24298                49485                0                    22                   0.05134                                  11182                1.23                                    
Stats By CPU
CPU0:
 Read Count           Write Count          Discard Count       
 7286                 13455                0                   
CPU1:
 Read Count           Write Count          Discard Count       
 17012                36030                0                   
Block Stats
 Block Number         Invalid Count        Erase Count         
 0                    0                    1                   
 1                    0                    1                   
 2                    0                    1                   
 3                    0                    1                   
 4                    0                    1                   
 5                    0                    1                   
 6                    636                  0                   
 7                    0                    1                   
 8                    0                    1                   
 9                    0                    1                   
 10                   0                    1                   
 11                   0                    1                   
 12                   0                    1                   
 13                   0                    1                   
 14                   0                    1                   
 15                   0                    1                   
 16                   0                    1                   
 17                   0                    1                   
 18                   0                    1                   
 19                   0                    1                   
 20                   0                    1                   
 21                   0                    1                   
 22                   0                    1                   
 23                   516                  0                   
 24                   927                  0                   
 25                   1024                 0                   
 26                   1024                 0                   
 27                   1024                 0                   
 28                   1024                 0                   
 29                   1024                 0                   
 30                   1024                 0                   
 31                   1024                 0                   
 32                   1024                 0                   
 33                   1023                 0                   
 34                   1024                 0                   
 35                   356                  0                   
 36                   852                  0                   
 37                   0                    0                   
 38                   0                    0                   
 39                   0                    0                   
